"Fabric","Vibe","Reasoning"
"Linen / Linen Blend / Linen-Blend","boho, bohemian, free-spirited, earthy, natural, rustic, relaxed, effortless, summery, beachy, casual, laid-back","Linen is lightweight, breathable, and textured, ideal for relaxed, natural, or vacation styles."
"Silk / Silk Chiffon","chic, elegant, sophisticated, polished, refined, luxe, graceful, timeless, posh, glamorous, dazzling, dramatic, show-stopping, phenomenal, feminine, romantic, dreamy, fairy-like, party-ready, formal, evening","Silk is luxurious and smooth, often used for formal, romantic, or high-end looks."
"Cotton / Cotton Poplin / Cotton Gauze / Cotton-Blend / Cotton Twill / Chambray","minimalist, simple, clean, crisp, understated, basic, neutral, effortless, streamlined, casual, laid-back, everyday, youthful, playful, fun, boho, free-spirited, rustic, earthy, natural, relaxed, summery","Cotton is versatile and comfortable, suitable for everyday, relaxed, or youthful styles."
"Rayon / Viscose / Viscose Voile","trendy, fashionable, in-vogue, contemporary, modern, statement, bold, edgy, experimental, avant-garde, playful, fun, artsy, flowy, relaxed, everyday, vacation","Rayon and viscose are soft and drapey, often used for trendy, relaxed, or artsy garments."
"Satin / Polyester Georgette / Poly-crepe","chic, elegant, sophisticated, polished, refined, luxe, graceful, timeless, posh, glamorous, dazzling, dramatic, show-stopping, phenomenal, feminine, romantic, party-ready, formal, evening","Satin and similar fabrics are smooth and shiny, ideal for formal or glamorous looks."
"Modal Jersey / Ribbed Jersey / Bamboo Jersey / Ribbed Knit","sporty, athleisure, casual, laid-back, cool, hip, wearable, comfortable, empowering, youthful, everyday","Jersey and knit fabrics are stretchy and comfortable, often used for casual, sporty, or youthful looks."
"Crepe / Poly-crepe","chic, elegant, sophisticated, polished, refined, luxe, graceful, timeless, posh, formal, semi-formal, work","Crepe is textured and drapey, often used for professional or elegant styles."
"Tencel / Tencel Twill / Tencel-Blend","minimalist, simple, clean, crisp, understated, basic, neutral, effortless, streamlined, modern, contemporary, sustainable, eco-friendly, everyday","Tencel is smooth, eco-friendly, and often used for modern, sustainable, or minimalist styles."
"Organic Cotton","minimalist, simple, clean, crisp, understated, basic, neutral, effortless, streamlined, sustainable, eco-friendly, everyday","Organic cotton is natural and eco-conscious, suitable for minimalist or sustainable looks."
"Sequined Mesh / Sequined Velvet / Lamé","glamorous, dazzling, glitzy, sparkly, dramatic, show-stopping, phenomenal, party-ready, festive, statement","Sequined and metallic fabrics are bold and eye-catching, ideal for parties or special occasions."
"Chiffon / Polyester Georgette / Organza Overlay / Tulle","feminine, romantic, graceful, soft, delicate, floral, dreamy, fairy-like, whimsical, playful, charming, delightful, sweet, girly, vacation, summery, party","Chiffon and similar sheer fabrics are light and flowy, often used for romantic, playful, or feminine styles."
"Velvet / Crushed Velvet","glamorous, dazzling, glitzy, dramatic, show-stopping, phenomenal, luxe, posh, chic, elegant, sophisticated, refined, party-ready, evening, wintry, cozy, festive","Velvet is plush and luxurious, ideal for formal, festive, or cozy winter looks."
"Lace Overlay","feminine, romantic, graceful, soft, delicate, floral, dreamy, fairy-like, whimsical, charming, delightful, sweet, girly, party","Lace is delicate and decorative, often used for romantic or special occasion styles."
"Tweed / Wool-Blend","classic, timeless, chic, elegant, sophisticated, polished, refined, posh, formal, semi-formal, wintry, cozy, work","Tweed and wool blends are textured and warm, often used for professional, classic, or cozy winter looks."
"Denim / Stretch Denim","casual, laid-back, cool, hip, streetwear, urban, sporty, everyday, youthful, empowering, expressive","Denim is durable and versatile, suitable for casual, trendy, or youthful styles."
"Scuba Knit","trendy, modern, contemporary, structured, sharp, powerful, assertive, statement, bold, party-ready","Scuba knit is thick and structured, often used for bold, modern, or statement looks."
"Vegan Leather","edgy, bold, experimental, avant-garde, statement, powerful, assertive, modern, contemporary","Vegan leather is sleek and bold, ideal for edgy, statement, or contemporary styles."